name,lat,lon,provinsi,kabupaten,kecamatan
Woro,-7.1686435,112.0946263,JawaTimur,Bojonegoro,KepohBaru
Ketabang,-7.2577413,112.7475702,JawaTimur,Surabaya,Genteng
Genteng,-7.258511,112.7386147,JawaTimur,Surabaya,Genteng
Embong Kaliasin,-7.2692301,112.7442822,JawaTimur,Surabaya,Genteng
Kapasari,-7.2474521,112.749209,JawaTimur,Surabaya,Genteng
Peneleh,-7.2518361,112.7419957,JawaTimur,Surabaya,Genteng
Genteng,-7.2604033,112.7432439,JawaTimur,Surabaya,Genteng
Kapasan,-7.241759,112.7509015,JawaTimur,Surabaya,Simokerto
Simokerto,-7.2396349,112.7534717,JawaTimur,Surabaya,Simokerto
Simolawang,-7.2332045,112.7480627,JawaTimur,Surabaya,Simokerto
Tambakrejo,-7.2448674,112.7565746,JawaTimur,Surabaya,Simokerto
Sidodadi,-7.2370935,112.7473064,JawaTimur,Surabaya,Simokerto
Simokerto,-7.2379282,112.7571148,JawaTimur,Surabaya,Simokerto
Sidotopo,-7.2295059,112.7510811,JawaTimur,Surabaya,Semampir
Pegirian,-7.2285781,112.7519121,JawaTimur,Surabaya,Semampir
Semampir,-7.2143632,112.7484884,JawaTimur,Surabaya,Semampir
Ampel,-7.2296925,112.7435075,JawaTimur,Surabaya,Semampir
Wonokusumo,-7.2183152,112.7552237,JawaTimur,Surabaya,Semampir
Ujung,-7.2103026,112.7484884,JawaTimur,Surabaya,Semampir
Sidotopo Wetan,-7.2240779,112.7627254,JawaTimur,Surabaya,Kenjeran
Tanah Kali Kedinding,-7.2273059,112.7746418,JawaTimur,Surabaya,Kenjeran
Bulak Banteng,-7.2095022,112.7645804,JawaTimur,Surabaya,Kenjeran
Kenjeran,-7.2161869,112.7716523,JawaTimur,Surabaya,Kenjeran
Tambak Wedi,-7.2099186,112.7741642,JawaTimur,Surabaya,Kenjeran
Sukolilo Baru,-7.2452772,112.7969354,JawaTimur,Surabaya,Bulak
Kedung Cowek,-7.2172476,112.7820908,,,
Bulak,-7.2320133,112.7907637,JawaTimur,Surabaya,Bulak
Kenjeran,-7.2344824,112.7902943,JawaTimur,Surabaya,Bulak
Bulak,-7.2312073,112.780725,JawaTimur,Surabaya,Bulak
Perak Barat,-7.21995,112.7225123,JawaTimur,Surabaya,Krembangan
Morokrembangan,-7.2265302,112.7164698,JawaTimur,Surabaya,Krembangan
Krembangan Selatan,-7.2378825,112.7357013,JawaTimur,Surabaya,Krembangan
Kemayoran,-7.2376534,112.7289352,JawaTimur,Surabaya,Krembangan
Krembangan,-7.2268792,112.724527,JawaTimur,Surabaya,Krembangan
Dupak,-7.2415425,112.7177224,JawaTimur,Surabaya,Krembangan
Jepara,-7.241205,112.7282635,JawaTimur,Surabaya,Krembangan
Alon-Alon Contong,-7.2499919,112.7385968,JawaTimur,Surabaya,Bubutan
Bubutan,-7.2466007,112.7290722,JawaTimur,Surabaya,Bubutan
Tembok Dukuh,-7.2520409,112.7221253,JawaTimur,Surabaya,Bubutan
Gundih,-7.2485512,112.7271865,JawaTimur,Surabaya,Bubutan
Bubutan,-7.25045,112.7324545,JawaTimur,Surabaya,Bubutan
Pakis,-7.2865887,112.721873,JawaTimur,Surabaya,Sawahan
Banyu Urip,-7.2738375,112.7194317,JawaTimur,Surabaya,Sawahan
Putat Jaya,-7.2769269,112.7188867,JawaTimur,Surabaya,Sawahan
Sawahan,-7.2737751,112.7214435,JawaTimur,Surabaya,Sawahan
Petemon,-7.2617451,112.719356,JawaTimur,Surabaya,Sawahan
Sawahan,-7.2625112,112.7290411,JawaTimur,Surabaya,Sawahan
Kupang Krajan,-7.2706142,112.720801,JawaTimur,Surabaya,Sawahan
Sono Kwijenan,-7.2802407,112.7011452,JawaTimur,Surabaya,SukoManunggal
Simomulyo,-7.2626614,112.7115249,JawaTimur,Surabaya,SukoManunggal
Tanjungsari,-7.265988,112.6902726,JawaTimur,Surabaya,SukoManunggal
Simomulyo Baru,-7.2646719,112.7046913,JawaTimur,Surabaya,SukoManunggal
Sukomanunggal,-7.2708869,112.6993857,JawaTimur,Surabaya,SukoManunggal
Sukomanunggal,-7.2636581,112.6946963,JawaTimur,Surabaya,SukoManunggal
Putat Gede,-7.2879365,112.7010493,JawaTimur,Surabaya,SukoManunggal
Tambak Sarioso,-7.2379125,112.6796455,JawaTimur,Surabaya,Asemrowo
Genting Kalianak,-7.2326095,112.7013137,JawaTimur,Surabaya,Asemrowo
Asemrowo,-7.2379125,112.6890051,JawaTimur,Surabaya,Asemrowo
Asemrowo,-7.2435141,112.7044988,JawaTimur,Surabaya,Asemrowo
Pakal,-7.2309921,112.6145008,JawaTimur,Surabaya,Pakal
Sumberrejo,-7.2169164,112.6098148,JawaTimur,Surabaya,Pakal
Babat Jerawat,-7.241025,112.6285629,JawaTimur,Surabaya,Pakal
Benowo,-7.2374626,112.6106547,JawaTimur,Surabaya,Pakal
Pakal,-7.2379624,112.6183152,JawaTimur,Surabaya,Pakal
Bongkaran,-7.2424981,112.7426738,JawaTimur,Surabaya,PabeanCantian
Perak Utara,-7.2093483,112.7275738,JawaTimur,Surabaya,PabeanCantian
Nyamplungan,-7.2311084,112.7415205,JawaTimur,Surabaya,Semampir
Perak Timur,-7.2283596,112.7332107,JawaTimur,Surabaya,PabeanCantian
Dukuh Setro,-7.2371397,112.7772387,JawaTimur,Surabaya,Tambaksari
Tambaksari,-7.2526234,112.7556784,JawaTimur,Surabaya,Tambaksari
Kapasmadya Baru,-7.2405421,112.7661537,JawaTimur,Surabaya,Tambaksari
Gading,-7.2454151,112.7790907,JawaTimur,Surabaya,Tambaksari
Pacar Kembang,-7.2605069,112.7673754,JawaTimur,Surabaya,Tambaksari
Pacar Keling,-7.2616639,112.7575543,JawaTimur,Surabaya,Tambaksari
Rangkah,-7.247085,112.7640882,JawaTimur,Surabaya,Tambaksari
Balongsari,-7.2516622,112.6799646,JawaTimur,Surabaya,Tandes
Tandes,-7.2596035,112.6868476,JawaTimur,Surabaya,Tandes
Banjar Sugihan,-7.2536992,112.6595303,JawaTimur,Surabaya,Tandes
Karangpoh,-7.2662176,112.6792976,JawaTimur,Surabaya,Tandes
Manukan Wetan,-7.2498137,112.6661529,JawaTimur,Surabaya,Tandes
Manukan Kulon,-7.2607413,112.6654293,JawaTimur,Surabaya,Tandes
Tandes,-7.2565245,112.6732399,JawaTimur,Surabaya,Tandes
Kandangan,-7.2495113,112.6495006,JawaTimur,Surabaya,Benowo
Benowo,-7.2249067,112.6571375,JawaTimur,Surabaya,Benowo
Tambakoso Wilangon,-7.211707,112.6636819,JawaTimur,Surabaya,Benowo
Sememi,-7.2433768,112.6394567,JawaTimur,Surabaya,Benowo
Romokalisari,-7.2073763,112.6455936,JawaTimur,Surabaya,Benowo
Ploso,-7.2539356,112.7688198,JawaTimur,Surabaya,Tambaksari
Tambaksari,-7.2510229,112.7694946,JawaTimur,Surabaya,Tambaksari
Menanggal,-7.339886,112.7233632,JawaTimur,Surabaya,Gayungan
Lakarsantri,-7.3125244,112.6528235,JawaTimur,Surabaya,Lakarsantri
Penjaringan Sari,-7.3178485,112.785485,JawaTimur,Surabaya,Rungkut
Klampis Ngasem,-7.2888034,112.7759625,JawaTimur,Surabaya,Sukolilo
Sukolilo,-7.2891145,112.8042776,JawaTimur,Surabaya,Sukolilo
Wonorejo,-7.3103499,112.8156934,JawaTimur,Surabaya,Rungkut
Jambangan,-7.3191125,112.7146719,JawaTimur,Surabaya,Jambangan
Lakarsantri,-7.3000668,112.6336374,JawaTimur,Surabaya,Lakarsantri
Sambikerep,-7.2770527,112.6513272,JawaTimur,Surabaya,Sambikerep
Kejawen Putih Tambak,-7.2719653,112.8136707,JawaTimur,Surabaya,Mulyorejo
Kali Rungkut,-7.3197596,112.7736364,JawaTimur,Surabaya,Rungkut
Bangkingan,-7.3252585,112.6577731,JawaTimur,Surabaya,Lakarsantri
Mulyorejo,-7.2669497,112.7995587,JawaTimur,Surabaya,Mulyorejo
Darmo,-7.2881706,112.7351771,JawaTimur,Surabaya,Tegalsari
Balas Klumprik,-7.3268714,112.6856479,JawaTimur,Surabaya,Wiyung
Medokan Semampir,-7.303407,112.7906047,JawaTimur,Surabaya,Sukolilo
Kebonsari,-7.3271411,112.7155532,JawaTimur,Surabaya,Jambangan
Gebang Putih,-7.2819486,112.7920227,JawaTimur,Surabaya,Sukolilo
Sumur Welut,-7.3268005,112.671784,JawaTimur,Surabaya,Lakarsantri
Rungkut Menanggal,-7.3381495,112.7666601,JawaTimur,Surabaya,GunungAnyar
Manyar Sabrangan,-7.2831908,112.773947,JawaTimur,Surabaya,Sukolilo
Lidah Wetan,-7.3042929,112.6685336,JawaTimur,Surabaya,Lakarsantri
Dukuh Pakis,-7.2915814,112.700362,JawaTimur,Surabaya,SukoManunggal
Dukuh Menanggal,-7.3439455,112.7266703,JawaTimur,Surabaya,Gayungan
Babatan,-7.3021283,112.6809292,JawaTimur,Surabaya,Wiyung
Sambikerep,-7.2750909,112.6552513,JawaTimur,Surabaya,Sambikerep
Ngagel,-7.2884186,112.7444857,JawaTimur,Surabaya,Wonokromo
Warugunung,-7.341529,112.672942,JawaTimur,Surabaya,KarangPilang
Jemur Wonosari,-7.3244476,112.739493,JawaTimur,Surabaya,Wonocolo
Dukuh Pakis,-7.2936633,112.7110143,JawaTimur,Surabaya,DukuhPakis
Pagesangan,-7.3352355,112.7120451,JawaTimur,Surabaya,Jambangan
Ketintang,-7.3185306,112.7266201,JawaTimur,Surabaya,Gayungan
Sawunggaling,-7.3000981,112.7286146,JawaTimur,Surabaya,Wonokromo
Kedungdoro,-7.2632326,112.7356932,JawaTimur,Surabaya,Tegalsari
Gubeng,-7.2845576,112.7607804,JawaTimur,Surabaya,Gubeng
Rungkut,-7.3168803,112.8014326,JawaTimur,Surabaya,Rungkut
Lontar,-7.2772582,112.6680736,JawaTimur,Surabaya,Sambikerep
Semolowaru,-7.3017292,112.7818347,JawaTimur,Surabaya,Sukolilo
Bendul Merisi,-7.3098366,112.7441371,JawaTimur,Surabaya,Wonocolo
SiwalanKerto,-7.3365597,112.7364601,JawaTimur,Surabaya,Wonocolo
Dr. Sutomo,-7.2818337,112.7339015,JawaTimur,Surabaya,Tegalsari
Ngagelrejo,-7.2976275,112.7488217,JawaTimur,Surabaya,Wonokromo
Wonorejo,-7.2706966,112.7313022,JawaTimur,Surabaya,Tegalsari
Baratajaya,-7.2967089,112.758911,JawaTimur,Surabaya,Gubeng
Mojo,-7.2716523,112.7691263,JawaTimur,Surabaya,Gubeng
Gubeng,-7.2726744,112.7493614,JawaTimur,Surabaya,Gubeng
Ngiden Jangkungan,-7.3041985,112.7686024,JawaTimur,Surabaya,Sukolilo
Tenggilis Mejoyo,-7.3203995,112.7577899,JawaTimur,Surabaya,TenggilisMejoyo
Kedung Baruk,-7.3155767,112.7772233,JawaTimur,Surabaya,Rungkut
Rungkut Tengah,-7.3332642,112.7681951,JawaTimur,Surabaya,GunungAnyar
Kendangsari,-7.3238081,112.7516729,JawaTimur,Surabaya,TenggilisMejoyo
Gayungan,-7.3280127,112.7266703,JawaTimur,Surabaya,Gayungan
Tenggilis Mejoyo,-7.3239142,112.7563605,JawaTimur,Surabaya,TenggilisMejoyo
Gunung Anyar,-7.3384486,112.7925211,JawaTimur,Surabaya,GunungAnyar
Gunung Anyar,-7.3391296,112.7892833,JawaTimur,Surabaya,GunungAnyar
Gunungsari,-7.2999127,112.7143887,JawaTimur,Surabaya,DukuhPakis
Wonocolo,-7.3249948,112.7443506,JawaTimur,Surabaya,TenggilisMejoyo
Tegalsari,-7.2709142,112.737995,JawaTimur,Surabaya,Tegalsari
Keputih,-7.2888013,112.8140921,JawaTimur,Surabaya,Sukolilo
Jajar Tunggal,-7.3094585,112.7062172,JawaTimur,Surabaya,Wiyung
Mulyorejo,-7.2683915,112.785004,JawaTimur,Surabaya,Mulyorejo
Margorejo,-7.3151411,112.7409849,JawaTimur,Surabaya,Wonocolo
